[14/11/2025 17:01:46,06] Supprimé: u0nglgj4.vuk 
[14/11/2025 17:01:46,06] Supprimé: uer0nauy.hyt 
[14/11/2025 17:01:46,06] Supprimé: upgrade_sensors 
[14/11/2025 17:01:46,06] Supprimé: VISCHENZISCH-20251108-0818.log 
[14/11/2025 17:01:46,06] Supprimé: VISCHENZISCH-20251109-1103.log 
[14/11/2025 17:01:46,08] Supprimé: VISCHENZISCH-20251110-1455.log 
[14/11/2025 17:01:46,08] Supprimé: VISCHENZISCH-20251111-1526.log 
[14/11/2025 17:01:46,08] Supprimé: VISCHENZISCH-20251112-1644.log 
[14/11/2025 17:01:46,08] Supprimé: VISCHENZISCH-20251113-1723.log 
[14/11/2025 17:01:46,08] Supprimé: vscode-edge-devtools-userdatadir_9222 
[14/11/2025 17:01:46,10] Supprimé: vscode-stable-system-x64-7k42bitkb6a 
[14/11/2025 17:01:46,10] Supprimé: vscode-stable-user-x64 
[14/11/2025 17:01:46,11] Supprimé: vscode-stable-user-x64-p85cziakjuk 
[14/11/2025 17:01:46,11] Supprimé: vscode-typescript 
[14/11/2025 17:01:46,11] Supprimé: VSFeedbackIntelliCodeLogs 
[14/11/2025 17:01:46,11] Supprimé: VSGitHubCopilotLogs 
[14/11/2025 17:01:46,13] Supprimé: VSLogs 
[14/11/2025 17:01:46,13] Supprimé: VSTelem 
[14/11/2025 17:01:46,13] Supprimé: wct1583.tmp 
[14/11/2025 17:01:46,13] Supprimé: wct1AB1.tmp 
[14/11/2025 17:01:46,13] Supprimé: wct21C6.tmp 
[14/11/2025 17:01:46,14] Supprimé: wct2425.tmp 
[14/11/2025 17:01:46,14] Supprimé: wct2944.tmp 
[14/11/2025 17:01:46,14] Supprimé: wct2DAE.tmp 
[14/11/2025 17:01:46,14] Supprimé: wct3227.tmp 
[14/11/2025 17:01:46,14] Supprimé: wct328F.tmp 
[14/11/2025 17:01:46,14] Supprimé: wct336A.tmp 
[14/11/2025 17:01:46,16] Supprimé: wct3397.tmp 
[14/11/2025 17:01:46,16] Supprimé: wct344B.tmp 
[14/11/2025 17:01:46,16] Supprimé: wct36D5.tmp 
[14/11/2025 17:01:46,16] Supprimé: wct3879.tmp 
